Coding:Level1,Coding:Level2,message
Action,Action: Sell,"['Good', 'Morning', 'It', 'raining', ""'re"", 'working', 'come', 'visit', 'Ecostore', 'eco-friendly', 'needs', 'We', 'cleaning', 'products', 'bug', 'repellant', 'long', 'sleeve', 't-shirts', 'umbrellas']"
Action,Action: Sell,"['Come', 'visit', 'Eco', 'Store', 'West', 'End']"
Community,Community: Thanks,"['The', 'RMP', 'wants', 'thank', 'recognize', 'constant', 'effort', 'Family', 'Arch', 'protecting', 'area', 'French', 'Harbor', 'Today', 'different', 'stopped', 'illegal', 'fishermen', 'taking', '56', 'Conch', 'They', 'call', 'us', 'got', 'info', 'work', 'stop', 'This', 'real', 'Island', 'Pride', 'Thank']"
Information,Information,"['Check', 'latest', 'additions', 'dive', 'moorings', 'Sandy', 'Bay', 'Robin', 'Nest', 'neat', 'Gibson', 'Bight', 'Deja', 'Vu', 'near', 'Four', 'Sponges', 'The', 'Nest', 'named', 'one', 'latest', 'Gold', 'Individual', 'members', 'great', 'site', 'swim', 'throughs', 'Deja', 'Vu', 'purchased', 'Birthday', 'Party', 'auction', 'awesome', 'swim', 'directly', 'mooring', 'takes', 'shallows', 'way', 'wall', '>', '50m']"
Information,Information,"['Bracelet', 'sales', 'business', 'membership', 'payments', 'dive', 'shop', 'operating', 'within', 'Sandy', 'Bay', 'West', 'End', 'Reserve', 'Jan-Sep', '2012']"
Information,Information,"['Alternative', 'Livelihoods']"
Community,Community: Thanks,"['We', 'would', 'like', 'firstly', 'thank', '3', 'new', 'Individual', 'Gold', 'Members', 'Marco', 'Agurcia', 'Haller', 'Jackson', 'group', 'Single', 'Divers', 'The', 'map', 'shows', 'two', 'new', 'dive', 'sites', 'located', 'betweeen', 'West', 'End', 'West', 'Bay', 'The', 'first', 'Haller', 'Deep', 'located', 'east', 'Blue', 'Channel', 'The', 'mooring', '45ft', 'edge', 'wall', 'two', 'pinnacles', 'running', 'deep', 'The', 'called', 'Jumpin', 'Jack', 'Tabyannas', 'Buchos', 'Bank', 'With', 'huge', 'expanses', 'sand', 'mooring', 'sits', '35ft', 'ideal', 'beginners']"
Information,Information,"['With', '17', 'newly', 'trained', 'licensed', 'lionfish', 'hunters', 'bad', 'weather', 'hopefully', 'spell', 'disaster', 'lionfish', 'inhabiting', 'Roatan', 'southern', 'shores', 'Happy', 'hunting', 'supporters', 'lets', 'hope', 'rain', 'wo', 'stop', 'us', 'diving']"
Information,Information,"['Here', 'details', 'funds', 'raised', 'past', '10', 'months', 'dive', 'shops', 'West', 'End', 'West', 'Bay', 'Sandy', 'Bay', 'The', 'values', 'dollars', 'show', 'bracelet', 'token', 'sales', 'well', 'memberships', 'January', 'October', 'We', 'would', 'like', 'say', 'huge', 'thank', 'supporters', 'without', 'help', 'would', 'never', 'able', 'achieve', 'goals']"
Information,Information,"['Here', 'details', 'funds', 'raised', 'past', '10', 'months', 'dive', 'shops', 'outisde', 'West', 'End', 'West', 'Bay', 'Sandy', 'Bay', 'east', 'Coxen', 'Hole', 'The', 'values', 'dollars', 'show', 'bracelet', 'token', 'sales', 'well', 'memberships', 'January', 'October', 'We', 'would', 'like', 'say', 'huge', 'thank', 'supporters', 'without', 'help', 'would', 'never', 'able', 'achieve', 'goals']"
